State,Code,Group
Alabama,al,1
Alaska,ak,3
Arizona,az,2
Arkansas,ar,5
California,ca,5
Colorado,co,5
Connecticut,ct,4
Delaware,de,1
Florida,fl,2
Georgia,ga,5
Hawaii,hi,2
Idaho,id,2
Illinois,il,1
Indiana,in,2
Iowa,ia,3
Kansas,ks,3
Kentucky,ky,4
Louisiana,la,2
Maine,me,3
Montana,mt,4
Nebraska,ne,5
Nevada,nv,4
New Hampshire,nh,1
New Jersey,nj,4
New Mexico,nm,4
New York,ny,3
North Carolina,nc,1
North Dakota,nd,4
Ohio,oh,3
Oklahoma,ok,2
Oregon,or,4
Maryland,md,3
Massachusetts,ma,2
Michigan,mi,1
Minnesota,mn,4
Mississippi,ms,2
Missouri,mo,5
Pennsylvania,pa,1
Rhode Island,ri,1
South Carolina,sc,4
South Dakota,sd,2
Tennessee,tn,2
Texas,tx,3
Utah,ut,3
Vermont,vt,4
Virginia,va,4
Washington,wa,3
West Virginia,wv,5
Wisconsin,wi,2
Wyoming,wy,5
